student,Random_sample_mean,Judgement_sample_mean,Random_sample_std_deviation,Judgment_sample_std_deviation
1,3.6,7.4,1.14,8.9
2,7,4.2,9,1.025
3,7,6.2,10.124,7.33
4,8.2,7.8,10.64,9.76
5,2.4,3,0.89,2
6,8.6,10.4,8.71,10.71
7,3.2,3.2,0.837,1.304
8,9.6,11.4,9.96,10.68
9,3,8.2,1.87,9.01
10,5.6,7.4,6.99,8.88
11,1.6,7.2,1.67,7.33
12,7.8,4.6,9.338,1.949
13,5.4,9.839,11,10.677
14,3.6,7.8,1.82,7.56
15,6.8,14.8,8.77,9.15
16,2.8,3.4,0.84,1.19
17,9.8,1.48,11.167,8.84
18,3,6,1.73,9.51
19,3.4,7.6,1.78,9.2
20,3.4,2.6,1.67,1.14
21,,,,
22,,,,
23,,,,
24,,,,
