student,Random_sample_mean,Judgement_sample_mean,Random_sample_std_deviation,Judgment_sample_std_deviation
1,7.2,2.4,8.87,0.89
2,6.52,11.906,7.67,11.276
3,7.6,2.4,47.68,2.3
4,12.8,3.4,9.63,1.67
5,1.16,1.08,3.1,2.58
6,7.2,6.8,9.42,9.65
7,6.8,7.8,8.04,8.61
8,2.8,11.6,1.095,52.93
9,3.4,3.4,2.41,2.07
10,2.8,2.8,0.7,3.7
11,2.6,6.6,1.342,9.21
12,2.2,5.8,0.837,10.378
13,12,8.2,9.39,7.95
14,4,6.6,1.414,9.18
15,3.2,3.2,1.304,1.095
16,6.8,8.04,7.8,8.61
17,3,10.6,1,9.659
18,7.4,10.6,11.014,11.371
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
