student,Random_sample_mean,Judgement_sample_mean,Random_sample_std_deviation,Judgment_sample_std_deviation
1,1.2,13.4,0.45,10.16
2,3.4,4.4,1.67,1.67
3,11.6,10,10.31,9.93
4,7.8,7.8,9.72,8.66
5,2.4,2,0.77,0.707
6,3.6,11,0.89,10.6
7,7.8,10.8,9.2,11.6
8,4.4,5.4,2.19,0.55
9,3,11.2,1,10.47
10,3.2,7,0.45,9
11,3.4,7.4,1.51,8.91
12,2.4,33.4,20.04,30.69
13,3.8,10,1.64,9.93
14,3.2,9.8,1.7,9.6
15,7.2,2.6,6.81,0.72
16,3.2,5.1,0.56,8.72
17,3.4,7,1.67,9.14
18,6.8,8.2,5.9,9
19,3.6,1.38,2.8,1.1
20,,,,
21,,,,
22,,,,
23,,,,
